6648cb7902ed59a045a4d4ec,14,1
6648cb7902ed59a045a4d4ec,1,1
6648cb7902ed59a045a4d4ec,13,2
6648cb7902ed59a045a4d4ec,31,1
6648cb7902ed59a045a4d4ec,41,2
6648cb7902ed59a045a4d4ec,31,1
6648cb7902ed59a045a4d4ec,11,1
6648cb7902ed59a045a4d4ec,17,2
6648cb7902ed59a045a4d4ec,29,1
6648cb7902ed59a045a4d4ec,29,1
6648cb7902ed59a045a4d4ec,75,1
6648cb7902ed59a045a4d4ec,75,2
6648cb7902ed59a045a4d4ec,75,1
6648cb7902ed59a045a4d4ec,75,2
6648cb7902ed59a045a4d4ec,12,1
6648cb7902ed59a045a4d4ec,34,2
6648cb7902ed59a045a4d4ec,23,1
6648cb7902ed59a045a4d4ec,10,1
6648cb7902ed59a045a4d4ec,26,2
6648cb7902ed59a045a4d4ec,7,1
6648cb7902ed59a045a4d4ec,7,2
6648cb7902ed59a045a4d4ec,7,1
6648cb7902ed59a045a4d4ec,18,1
6648cb7902ed59a045a4d4ec,3,1
6648cb7902ed59a045a4d4ec,3,2
6648cb7902ed59a045a4d4ec,7,1
6648cb7902ed59a045a4d4ec,7,1
6648cb7902ed59a045a4d4ec,28,2
6648cb7902ed59a045a4d4ec,28,1
6648cb7902ed59a045a4d4ec,12,1
6648cb7902ed59a045a4d4ec,8,2
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,3,1
6648cb7902ed59a045a4d4ec,18,2
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,8,2
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,11,2
6648cb7902ed59a045a4d4ec,11,1
6648cb7902ed59a045a4d4ec,11,1
6648cb7902ed59a045a4d4ec,11,1
6648cb7902ed59a045a4d4ec,11,2
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,11,1
6648cb7902ed59a045a4d4ec,13,1
6648cb7902ed59a045a4d4ec,7,1
6648cb7902ed59a045a4d4ec,22,1
6648cb7902ed59a045a4d4ec,19,1
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,37,1
6648cb7902ed59a045a4d4ec,8,2
6648cb7902ed59a045a4d4ec,7,1
6648cb7902ed59a045a4d4ec,12,1
6648cb7902ed59a045a4d4ec,18,1
6648cb7902ed59a045a4d4ec,3,1
6648cb7902ed59a045a4d4ec,7,1
6648cb7902ed59a045a4d4ec,3,1
6648cb7902ed59a045a4d4ec,2,1
6648cb7902ed59a045a4d4ec,12,1
6648cb7902ed59a045a4d4ec,68,1
6648cb7902ed59a045a4d4ec,12,1
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,23,1
6648cb7902ed59a045a4d4ec,12,1
6648cb7902ed59a045a4d4ec,6,1
6648cb7902ed59a045a4d4ec,43,1
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,68,1
6648cb7902ed59a045a4d4ec,18,1
6648cb7902ed59a045a4d4ec,13,2
6648cb7902ed59a045a4d4ec,7,1
6648cb7902ed59a045a4d4ec,2,1
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,4,2
6648cb7902ed59a045a4d4ec,68,1
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,18,1
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,33,1
6648cb7902ed59a045a4d4ec,2,1
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,2,1
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,39,1
6648cb7902ed59a045a4d4ec,2,1
6648cb7902ed59a045a4d4ec,68,2
6648cb7902ed59a045a4d4ec,12,1
6648cb7902ed59a045a4d4ec,12,1
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,6,1
6648cb7902ed59a045a4d4ec,13,1
6648cb7902ed59a045a4d4ec,23,2
6648cb7902ed59a045a4d4ec,2,1
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,68,1
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,3,1
6648cb7902ed59a045a4d4ec,13,1
6648cb7902ed59a045a4d4ec,13,2
6648cb7902ed59a045a4d4ec,2,1
6648cb7902ed59a045a4d4ec,7,1
6648cb7902ed59a045a4d4ec,18,1
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,8,1
6648cb7902ed59a045a4d4ec,2,1
6648cb7902ed59a045a4d4ec,2,2
